Estado;Estado;ID SIOE;Sigla;Designação;Tipologia de Entidade;Internacional;;;;;;;;;;;;;
Ativo;;875780313;IPDJ;Instituto Português do Desporto e Juventude, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;875780355;IPMA;Instituto Português do Mar e da Atmosfera, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;142400000;IPST;Instituto Português do Sangue e da Transplantação, I.P.;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;102100600;IST;Instituto Superior Técnico;"EFD#
IES#";;;;;;;;;;;;;;

Ativo;;;CISAC;International Confederation of Societies of Authors and Composers;;Sim;;;;;;;;;;;;;

Ativo;;;ISAN Portugal;International Standard Audiovisual Number Portugal;;;;;;;;;;;;;;;

Ativo;;;LNEG;Laboratório Nacional de Energia e Geologia, IP;AP#IP#;;;;;;;;;;;;;;

Ativo;;85090000;Marinha;Marinha Portuguesa;FA#;;;;;;;;;;;;;;

Ativo;;;MP;Ministério Público;OSJ#;;;;;;;;;;;;;;

Ativo;;;MJ;Ministro da Justiça;Gov#;;;;;;;;;;;;;;

Ativo;;;MF;Ministro das Finanças;Gov#;;;;;;;;;;;;;;

Ativo;;85090000;OMS;Organização Mundial de Saúde;;Sim;;;;;;;;;;;;;

Ativo;;;PE;Parlamento Europeu;;Sim;;;;;;;;;;;;;

Ativo;;20040000;PSP;Polícia de Segurança Pública;"AP#
FSS#";;;;;;;;;;;;;;

Ativo;;;PMar;Polícia Marítima;"AP#
ASF#";;;;;;;;;;;;;;

Ativo;;152900000;PJ;Polícia Judiciária;"AP#
FSS#
";;;;;;;;;;;;;;

Ativo;;875780308;PR;Presidente da República;;;;;;;;;;;;;;;

Ativo;;800003365;PGR;Procuradoria-Geral da República;OSJ#;;;;;;;;;;;;;;

Ativo;;;PCM;Presidência do Conselho de Ministros;Gov#;;;;;;;;;;;;;;

Ativo;;90350000;PM;Primeiro-Ministro;Gov#;;;;;;;;;;;;;;

Ativo;;;RA-M;Região Autónoma da Madeira;;;;;;;;;;;;;;;

Ativo;;;RA-A;Região Autónoma dos Açores;;;;;;;;;;;;;;;

Ativo;;;SCML;Santa Casa da Misericórdia de Lisboa;;;;;;;;;;;;;;;

Ativo;;13110000;SGPCM;Secretaria Geral da Presidência do Conselho de Ministros;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;22100000;SGMAI;Secretaria Geral do Ministério da Administração Interna ;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;151100000;SGMJ;Secretaria Geral do Ministério da Justiça;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;54100000;SGMF;Secretaria Geral do Ministério das Finanças ;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;86160000;SGMNE;Secretaria Geral do Ministério dos Negócios Estrangeiros;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;90370000;SGMTSSS;Secretaria Geral do Ministério do Trabalho, Solidariedade e Segurança Social;SGMTSSS#;;;;;;;;;;;;;;

Ativo;;20060000;SEF;Serviço de Estrangeiros e Fronteiras;"AP#
FSS#";;;;;;;;;;;;;;

Ativo;;20070000;SIS;Serviço de Informações e Segurança ;"AP#
FSS#";;;;;;;;;;;;;;

Ativo;;875780320;SICAD;Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências;AP#;;;;;;;;;;;;;;

Ativo;;;SEPNA;Serviço de Proteção da Natureza e Ambiente;AP#;;;;;;;;;;;;;;

Ativo;;875780255;SPMS;Serviços Partilhados do Ministério da Saúde, EPE;SPE#;;;;;;;;;;;;;;

Inativo;;51710000;SSAP;Serviços Sociais da Administração Pública;AP#;;;;;;;;;;;;;;

Ativo;;17000000;SIRP;Sistema de Informações da República Portuguesa;AP#;;;;;;;;;;;;;;

Ativo;;;SEN;Sistema Estatístico Nacional;AP#;;;;;;;;;;;;;;

Ativo;;800003021;STA;Supremo Tribunal Administrativo;"OSJ#
Trb#";;;;;;;;;;;;;;

Ativo;;800003022;STJ;Supremo Tribunal de Justiça;"OSJ#
Trb#";;;;;;;;;;;;;;

Ativo;;800003044;TC;Tribunal Constitucional;"OSJ#
Trb#";;;;;;;;;;;;;;

Ativo;;800003052;TContas;Tribunal de Contas;"OSJ#
Trb#";;;;;;;;;;;;;;

Ativo;;;TJUE;Tribunal de Justiça da União Europeia;;Sim;;;;;;;;;;;;;

Ativo;;73400000;TP;Turismo de Portugal, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;;UE;União Europeia;;Sim;;;;;;;;;;;;;
